CrossEntropyLoss,accuracy,accuracy_class_0,accuracy_class_1,accuracy_class_2,accuracy_class_3,accuracy_class_4,accuracy_class_5,accuracy_class_6,accuracy_class_7,accuracy_class_8,accuracy_class_9,val_CrossEntropyLoss,val_accuracy,val_accuracy_class_0,val_accuracy_class_1,val_accuracy_class_2,val_accuracy_class_3,val_accuracy_class_4,val_accuracy_class_5,val_accuracy_class_6,val_accuracy_class_7,val_accuracy_class_8,val_accuracy_class_9
2.2039913177490233,0.18191666666666667,0.12088468681411448,0.21744289528329871,0.5629405840886204,0.19425868536943403,0.17939061965080452,0.05866076369673492,0.0011828320378506252,0.33854748603351953,0.07622628610493933,0.04168767860144562,2.0866260528564453,0.3291,0.4479591836734694,0.518942731277533,0.500968992248062,0.4079207920792079,0.3869653767820774,0.06278026905829596,0.028183716075156576,0.6108949416342413,0.12833675564681724,0.11694747274529237
2.001186164220174,0.41658333333333336,0.6712814452135742,0.6466923761495106,0.4808660624370594,0.5039960854672974,0.4602875727490585,0.06493266924921601,0.15934437309901994,0.6941739824421389,0.20697316698000343,0.19499075474869726,1.8891732215881347,0.5136,0.8244897959183674,0.7674008810572687,0.49612403100775193,0.6425742574257426,0.5458248472505092,0.06726457399103139,0.3747390396659708,0.7645914396887159,0.2926078028747433,0.267591674925669
1.8060058196385702,0.5567333333333333,0.8686476447746074,0.7994660338178582,0.5088956025511917,0.6705268308595661,0.5806230742896269,0.06972883231876037,0.4972963839134843,0.7910614525139665,0.37532045804136044,0.3128256849890738,1.6876831293106078,0.6155,0.9173469387755102,0.8440528634361234,0.5775193798449613,0.7396039603960396,0.6252545824847251,0.07623318385650224,0.6617954070981211,0.8103112840466926,0.4383983572895277,0.37561942517343905
1.606644586722056,0.64215,0.9061286510214418,0.874962919015129,0.5827458878818396,0.7396835752732017,0.6615884970900376,0.09112709832134293,0.7014193984454208,0.8272944932162809,0.5188856605708426,0.4247772734913431,1.4872761011123656,0.6829,0.9346938775510204,0.8977973568281938,0.6618217054263565,0.7940594059405941,0.6843177189409368,0.11434977578475336,0.7797494780793319,0.8365758754863813,0.5349075975359343,0.5024777006937562
1.4135173082351684,0.7021,0.9169339861556643,0.9151587066152477,0.6513930849278281,0.7729571032458,0.719274221157138,0.14314702084486258,0.805001689760054,0.8391061452513966,0.6028029396684328,0.5679946209446965,1.300670289993286,0.7333,0.9357142857142857,0.9251101321585903,0.7141472868217055,0.8138613861386138,0.7240325865580448,0.1804932735426009,0.8308977035490606,0.8433852140077821,0.6139630390143738,0.66798810703667
1.2406996011734008,0.7439166666666667,0.9172716528786088,0.9328092554138238,0.7109768378650554,0.7884521285271571,0.7526532009585758,0.2160118059398635,0.857384251436296,0.8443735035913806,0.6506580071782602,0.6898638426626323,1.1416070461273193,0.7661,0.9326530612244898,0.9392070484581497,0.75,0.8237623762376237,0.7637474541751528,0.26345291479820626,0.8580375782881002,0.8482490272373541,0.6632443531827515,0.7433102081268583
1.0976592898368835,0.7702,0.9162586527097755,0.9433402551171759,0.7401812688821753,0.7969336160495841,0.7781581650119822,0.3025272090020291,0.8773234200743495,0.8454908220271349,0.6863783968552384,0.7460077323919987,1.013561987876892,0.788,0.9326530612244898,0.9462555066079296,0.7567829457364341,0.8376237623762376,0.785132382892057,0.35538116591928254,0.8695198329853863,0.853112840466926,0.7053388090349076,0.7730426164519326
0.9831357220808665,0.7903666666666667,0.9169339861556643,0.94853159299911,0.7579724739845586,0.804273364867069,0.7986990756590209,0.39568345323741005,0.8888137884420412,0.8482043096568236,0.7132114168518202,0.7717263405614389,0.9116212487220764,0.8077,0.9336734693877551,0.9488986784140969,0.7781007751937985,0.8425742574257425,0.8085539714867617,0.44506726457399104,0.8810020876826722,0.8492217898832685,0.7464065708418891,0.7888999008919723
0.8915589928627015,0.80605,0.9192976532162755,0.9522396914862059,0.7739174219536757,0.8086772141575599,0.8158165011982198,0.4733444014019554,0.8943899966204799,0.8520351157222665,0.7318407109895745,0.787359220036981,0.8301432728767395,0.8202,0.9387755102040817,0.9533039647577093,0.7906976744186046,0.8475247524752475,0.8217922606924644,0.5044843049327354,0.8820459290187892,0.853112840466926,0.7607802874743327,0.800792864222002
0.8178715944290161,0.8183,0.9192976532162755,0.9541679026994957,0.7846592816381336,0.8140596966237156,0.8260869565217391,0.5353255856852979,0.8984454207502535,0.8555466879489226,0.7484190736626217,0.8018154311649016,0.7645210981369018,0.83,0.9418367346938775,0.9550660792951542,0.7965116279069767,0.8455445544554455,0.8309572301425662,0.5661434977578476,0.8810020876826722,0.8599221789883269,0.7731006160164271,0.8077304261645193
